input_vector,output_vector,circuit
10100001000000000010100100000000010000000,10100001000000000010100100000000,c1355
10100000000000000101010000000000101000001,10100000000000000101010100000000,c1355
00001001000000000000000100000000100110001,00001001000000000000000100000000,c1355
00000000000100001000100001000010000001101,00000000000000001000100001000010,c1355
00001000000000010000000000001100000010001,00001000000000010000100000001100,c1355
10010000000000000000000100000000100101001,10010000000000000000000100000000,c1355
01000000001000000000000011000000000011001,01000000001000000000000011000000,c1355
01100001000000000000000000101001100000000,01100001000000000000000000101001,c1355
00000000000000011000100001000001000001011,00000000000000001000100001000001,c1355
00010000001100110000001100001000000010001,00010100001100110000001100001000,c1355
00000000000010000000011000000011000001011,00000000000000000000011000000011,c1355
00000001000001000000011000001000010010001,01000001000001000000011000001000,c1355
00010001001000001000100001000001000001011,00010001001000101000100001000001,c1355
00000110000000110000000000001000010100001,00000110000000110000000000000000,c1355
00000000000000101000100001000001000001011,00000000000000001000100001000001,c1355
00000000100000100000001100000000000000011,00000000100000100001001100000000,c1355
00011000000000000000100000000011100000011,00010000000000000000100000000011,c1355
00000000101000000001000010001000101000001,00000000101000000001000110001000,c1355
00001001000001000000000100000100010001001,00001001000001000000000100000000,c1355
00110000000000000000000010000010001000001,00010000000000000000000010000010,c1355
11000001000000000000101100000000001000000,11000001000000000000101100000000,c1355
00000011000010000001000000110011100000001,00000011000010000001010000110011,c1355
00000101000000110000000010000000011000001,00000101000000110000000000000000,c1355
00001010000000000001000000000000100000111,00001010000000000001000000000000,c1355
10100000001100000000000100000000100100001,10100000001100000000000000000000,c1355
10001000010000010010001000010000010100001,10001000010000010010001000010001,c1355
00000000001000001000100001000010000001101,00000000000000001000100001000010,c1355
10010000000000000000000100000100000100001,10010000000001000000000100000100,c1355
00000011000000000000000010000001001000001,00000001000000000000000010000001,c1355
01010100000000001010000000000000000010101,01010101000000001010000000000000,c1355
10001000010000010000000000000001010100001,10001000010000010000000000000000,c1355
00000000000011000000100000000001100000001,00001000000011000000100000000001,c1355
00000110000010000000000100000100100001001,00000110000010000100000100000100,c1355
11000000010100000000000100000000100100001,11000000010100000000000000000000,c1355
00010000100000100000010000011000001110011,00010000100000100000010000011000,c1355
00001010000001000001000001000000010001001,00001010000001000001000000000000,c1355
00000011000010000100000100000000001001001,00000011000010000000000100000000,c1355
00000011000000000000000010000010000100001,00010011000000000000000010000010,c1355
00000000100000010000001100000000000000101,00000000100000010000000100000000,c1355
00110000000000000000000010000010000100001,00100000000000000000000010000010,c1355
00000010000110100000000100000000000100011,00000010000110100000000100000000,c1355
11000000001000000100000000110000001000101,11000000001000000100000000110000,c1355
00000001000000000101000011000000000010011,00000000000000000101000011000000,c1355
00000011000010000000000000000011000100001,00000011000010000000000000000011,c1355
00001001000001000000010100000010000001001,00001001100001000000010100000010,c1355
10100000000100000010000000000000000000010,10100000000100000010000000000000,c1355
00001100000000101000000100000100001000001,00001100000000100000000100000100,c1355
00000000100000100011000000000000000000101,00000000100000100001000000000000,c1355
00000011000010000000000100000000000000101,00000011001010000000000100000000,c1355
10100000000000000001000001000100101000001,10100000000000000001000101000100,c1355
10001000010000010001000100100000010100001,10001000010000010001000100100010,c1355
00000001000000001001000000000000010010011,00000001000000001001000000000000,c1355
00001000000000110001100000000000000110001,00001000000000110001000000000000,c1355
00010000101000000000010000101000001110101,00010000101000000000010000101000,c1355
00000101100000001000010000100000000000101,10000101100000001000010000100000,c1355
10010000100000000000000010100000000010101,10010000100100000000000010100000,c1355
00010100000000000000001100000100010000101,00010100010000000000001100000100,c1355
00101001000000001010000100000000000001000,00101001000000001010000100000000,c1355
00010000010001001010000000000000000010101,00010001010001001010000000000000,c1355
00000001000001001001000000000000000000011,00000001000001001001000000000100,c1355
01010000110000000000000100000000100100001,01010000110000000000000000000000,c1355
00000011000001000001010000000000001001001,00000011000001000001010001000000,c1355
00000001000000001100000001010000000010011,00000000000000001100000001010000,c1355
00000001000000000000000010010000100010011,00000001000000000000000010010000,c1355
01000000001100001100000000100000001000101,01000000001100001100000000100000,c1355
00000000101000001001000010000000101000001,00000000101000001001000010010000,c1355
00000110000000010001100000000100010000001,00000110000000010001100000001100,c1355
00000011000010000001010000000000000101001,00000011000010000001000000000000,c1355
00010000000000000000101000000000001110001,00010000000000000000101000000000,c1355
00011000000001000000011000000001000001001,00011000000011000000011000000001,c1355
00000100001010000001000010100000101000111,00000100001010000001000010100000,c1355
00000001000001000000100100000100010001001,00000001000000000000100100000100,c1355
01000001000000000000001100001000010000101,00000001000000000000001100001000,c1355
00010011100100000000000100101000001110101,00010011100100000000000100101000,c1355
00000000100000100011000000000000000000011,00000000100000100010000000000000,c1355
00010100000000000000001100001000010000011,00010000000000000000001100001000,c1355
10001000101000000001000000000000101000001,10001000101000000011000000000000,c1355
